"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.451079835E2,6.222314500E1,2.577230167E1,8.879151702E1,1.227612495E0,2.097999954E1,1.700000048E0,9.000000000E0
1.461079835E2,6.222316167E1,2.577231333E1,8.839152778E1,1.252319217E0,1.385999966E1,1.700000048E0,8.899999619E0
1.471079835E2,6.222317333E1,2.577231333E1,8.799153471E1,1.300188303E0,1.385999966E1,1.700000048E0,9.000000000E0
1.481079835E2,6.222319000E1,2.577231500E1,8.729154473E1,1.323865533E0,1.284000015E1,1.700000048E0,9.199999809E0
1.491079835E2,6.222320833E1,2.577232167E1,8.699155611E1,1.391294122E0,2.612999916E1,1.700000048E0,9.100000381E0
1.501079835E2,6.222322333E1,2.577233000E1,8.659156563E1,1.462840557E0,2.179999924E1,1.700000048E0,8.699999809E0
1.511079835E2,6.222324000E1,2.577233833E1,8.599157614E1,1.497326970E0,9.699999809E0,1.700000048E0,8.699999809E0
1.521079835E2,6.222325333E1,2.577235000E1,8.549158492E1,1.531813383E0,2.688999939E1,1.700000048E0,8.800000191E0
1.531079835E2,6.222326667E1,2.577236000E1,8.499159357E1,1.542622447E0,1.390999985E1,1.700000048E0,8.899999619E0
1.541079835E2,6.222327500E1,2.577236500E1,8.459159888E1,1.548799157E0,2.270999908E1,1.700000048E0,8.899999619E0
1.551079835E2,6.222328333E1,2.577237333E1,8.439160444E1,1.561667204E0,2.081999969E1,1.700000048E0,9.000000000E0
1.561079835E2,6.222329333E1,2.577238167E1,8.419161099E1,1.554461122E0,9.829999924E0,1.700000048E0,9.000000000E0
1.571079835E2,6.222330333E1,2.577238167E1,8.409161693E1,1.571446896E0,2.287000084E1,1.700000048E0,9.000000000E0
1.581079835E2,6.222331833E1,2.577239167E1,8.369162658E1,1.599241972E0,1.325000000E1,1.700000048E0,9.199999809E0
1.591079835E2,6.222332833E1,2.577239500E1,8.369163276E1,1.583285570E0,2.294000053E1,1.700000048E0,9.100000381E0
1.601079835E2,6.222334333E1,2.577240667E1,8.379164252E1,1.611080527E0,1.456999969E1,1.700000048E0,8.899999619E0
1.611079835E2,6.222335833E1,2.577241667E1,8.409165217E1,1.606448054E0,1.019999981E1,1.700000048E0,8.800000191E0
1.621079835E2,6.222337167E1,2.577242000E1,8.419166033E1,1.581226707E0,1.521000004E1,1.700000048E0,9.000000000E0
1.631079835E2,6.222338167E1,2.577243333E1,8.409166724E1,1.595638871E0,2.096999931E1,1.700000048E0,9.199999809E0
1.641079835E2,6.222339667E1,2.577244333E1,8.429167689E1,1.579682469E0,1.510000038E1,1.700000048E0,9.100000381E0
1.651079835E2,6.222341167E1,2.577245000E1,8.459168628E1,1.599756718E0,2.075000000E1,1.600000024E0,8.800000191E0
1.661079835E2,6.222342667E1,2.577245500E1,8.519169556E1,1.627551675E0,1.556000042E1,1.600000024E0,8.899999619E0
1.671079835E2,6.222344333E1,2.577246167E1,8.559170595E1,1.624463320E0,2.320999908E1,1.700000048E0,9.000000000E0
1.681079835E2,6.222345833E1,2.577247500E1,8.559171583E1,1.654317260E0,1.789999962E1,1.600000024E0,8.600000381E0
1.691079835E2,6.222346833E1,2.577248500E1,8.559172250E1,1.665641069E0,2.026000023E1,1.700000048E0,8.699999809E0
1.701079835E2,6.222348167E1,2.577249833E1,8.569173140E1,1.664611697E0,1.745000076E1,1.700000048E0,8.800000191E0
1.711079835E2,6.222349333E1,2.577250500E1,8.609173881E1,1.667700052E0,1.797999954E1,1.700000048E0,8.899999619E0
1.721079835E2,6.222350667E1,2.577251333E1,8.599174734E1,1.688803554E0,1.745999908E1,1.700000048E0,9.000000000E0
1.731079835E2,6.222352333E1,2.577252500E1,8.619175810E1,1.695495009E0,1.586999989E1,1.700000048E0,8.699999809E0
1.741079835E2,6.222353667E1,2.577254000E1,8.639176711E1,1.710421920E0,2.079000092E1,1.700000048E0,8.600000381E0
1.751079835E2,6.222355167E1,2.577255667E1,8.669177724E1,1.738216996E0,1.838999939E1,1.700000048E0,8.500000000E0
1.761079835E2,6.222356667E1,2.577257333E1,8.689178737E1,1.732555032E0,2.329999924E1,1.700000048E0,8.600000381E0
